date,disturbance_id,line_id,point_name,point_id,coord_x,coord_y,angle_degrees,distance_from_reference_ft,reference_coord_x,reference_coord_y,light_upstream_reference
11/9/2022,2,3,l,l_2_3,0,25,na,na,na,na,no
11/9/2022,2,4,d,d_2_4,50,25,na,na,na,na,no
11/9/2022,2,4,j,j_2_4,150,25,na,na,na,na,no
11/9/2022,2,4,h,h_2_4,250,25,na,na,na,na,no
6/3/2022,1,1,a,a_1_1,250,-20,na,na,na,na,yes
6/3/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
6/3/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
6/3/2022,1,1,d,d_1_1,250,200,na,na,na,na,no
6/3/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
6/3/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
6/3/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
6/3/2022,1,2,h,h_1_2,150,200,na,na,na,na,no
6/3/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
6/3/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
6/3/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
6/3/2022,1,3,l,l_1_3,50,200,na,na,na,na,no
